"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"Dihydrolipoyl dehydrogenase"	"fig|Bacteroides_1_1_30.peg.1698,fig|Bacteroides_2_1_22.peg.541,fig|Bacteroides_2_2_4.peg.4656,fig|Bacteroides_3_1_23.peg.1880,fig|Bacteroides_D1.peg.1062,fig|Bacteroides_D22.peg.3544,fig|Bacteroides_D2.peg.1323,fig|Bacteroides_ovatus_3_8_47FAA.peg.1786,fig|Bacteroides_ovatus_ATCC_8483.peg.3850,fig|Bacteroides_ovatus_CL03T12C18.peg.4832,fig|Bacteroides_ovatus_SD_CC_2a.peg.1502,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2220,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1500,fig|Bacteroides_xylanisolvens_XB1A.peg.1465,fig|Bovatus_CL02T12C04.peg.5650,fig|Bovatus_NLAE-zl-C11.peg.1278,fig|Bovatus_NLAE-zl-C34.peg.1291,fig|Bovatus_NLAE-zl-H304.peg.4829,fig|Bovatus_NLAE-zl-H361.peg.4283,fig|Bovatus_NLAE-zl-H59.peg.1939,fig|Bovatus_NLAE-zl-H73.peg.2168,fig|Bxylanisolvens_CL03T12C04.peg.4041,fig|Bxylanisolvens_NLAE-zl-C182.peg.1486,fig|Bxylanisolvens_NLAE-zl-C29.peg.1418,fig|Bxylanisolvens_NLAE-zl-C339.peg.1484,fig|Bxylanisolvens_NLAE-zl-G310.peg.1608,fig|Bxylanisolvens_NLAE-zl-G421.peg.1615,fig|Bxylanisolvens_NLAE-zl-H194.peg.1481,fig|Bxylanisolvens_NLAE-zl-P352.peg.3960,fig|Bxylanisolvens_NLAE-zl-P393.peg.4111,fig|Bxylanisolvens_NLAE-zl-P727.peg.3735,fig|Bxylanisolvens_NLAE-zl-P732.peg.4008,fig|Bxylanisolvens_NLAE-zl-P736.peg.1652"	"206730-207191"	"620188-621573"
"Polygalacturonase"	"fig|Bacteroides_1_1_30.peg.199,fig|Bacteroides_2_1_22.peg.112,fig|Bacteroides_2_2_4.peg.720,fig|Bacteroides_3_1_23.peg.1037,fig|Bacteroides_D1.peg.1493,fig|Bacteroides_D22.peg.565,fig|Bacteroides_D2.peg.1854,fig|Bacteroides_ovatus_3_8_47FAA.peg.1018,fig|Bacteroides_ovatus_ATCC_8483.peg.519,fig|Bacteroides_ovatus_CL03T12C18.peg.740,fig|Bacteroides_ovatus_SD_CC_2a.peg.618,fig|Bacteroides_ovatus_SD_CMC_3f.peg.769,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.628,fig|Bacteroides_xylanisolvens_XB1A.peg.609,fig|Bovatus_CL02T12C04.peg.11,fig|Bovatus_NLAE-zl-C11.peg.570,fig|Bovatus_NLAE-zl-C34.peg.573,fig|Bovatus_NLAE-zl-H304.peg.964,fig|Bovatus_NLAE-zl-H361.peg.787,fig|Bovatus_NLAE-zl-H59.peg.772,fig|Bovatus_NLAE-zl-H73.peg.1154,fig|Bxylanisolvens_CL03T12C04.peg.615,fig|Bxylanisolvens_NLAE-zl-C182.peg.586,fig|Bxylanisolvens_NLAE-zl-C29.peg.393,fig|Bxylanisolvens_NLAE-zl-C339.peg.586,fig|Bxylanisolvens_NLAE-zl-G310.peg.722,fig|Bxylanisolvens_NLAE-zl-G421.peg.721,fig|Bxylanisolvens_NLAE-zl-H194.peg.395,fig|Bxylanisolvens_NLAE-zl-P352.peg.549,fig|Bxylanisolvens_NLAE-zl-P393.peg.547,fig|Bxylanisolvens_NLAE-zl-P727.peg.518,fig|Bxylanisolvens_NLAE-zl-P732.peg.547,fig|Bxylanisolvens_NLAE-zl-P736.peg.676"	"207192-207657"	"621574-622971"
"Magnesium and cobalt efflux protein CorC"	"fig|Bacteroides_1_1_30.peg.4841,fig|Bacteroides_2_1_22.peg.4451,fig|Bacteroides_2_2_4.peg.5220,fig|Bacteroides_3_1_23.peg.2322,fig|Bacteroides_D1.peg.4226,fig|Bacteroides_D22.peg.4596,fig|Bacteroides_D2.peg.4930,fig|Bacteroides_ovatus_3_8_47FAA.peg.4779,fig|Bacteroides_ovatus_ATCC_8483.peg.4268,fig|Bacteroides_ovatus_CL03T12C18.peg.5200,fig|Bacteroides_ovatus_SD_CC_2a.peg.4394,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2483,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4697,fig|Bacteroides_xylanisolvens_XB1A.peg.4398,fig|Bovatus_CL02T12C04.peg.5937,fig|Bovatus_NLAE-zl-C11.peg.3786,fig|Bovatus_NLAE-zl-C34.peg.3875,fig|Bovatus_NLAE-zl-H304.peg.1915,fig|Bovatus_NLAE-zl-H361.peg.4526,fig|Bovatus_NLAE-zl-H59.peg.5471,fig|Bovatus_NLAE-zl-H73.peg.5494,fig|Bxylanisolvens_CL03T12C04.peg.4426,fig|Bxylanisolvens_NLAE-zl-C182.peg.4144,fig|Bxylanisolvens_NLAE-zl-C29.peg.4218,fig|Bxylanisolvens_NLAE-zl-C339.peg.4157,fig|Bxylanisolvens_NLAE-zl-G310.peg.4314,fig|Bxylanisolvens_NLAE-zl-G421.peg.4312,fig|Bxylanisolvens_NLAE-zl-H194.peg.4085,fig|Bxylanisolvens_NLAE-zl-P352.peg.4249,fig|Bxylanisolvens_NLAE-zl-P393.peg.1225,fig|Bxylanisolvens_NLAE-zl-P727.peg.4040,fig|Bxylanisolvens_NLAE-zl-P732.peg.4315,fig|Bxylanisolvens_NLAE-zl-P736.peg.4880"	"207658-208118"	"622972-624354"
"Mercuric reductase"	"fig|Bacteroides_1_1_30.peg.4888,fig|Bacteroides_2_1_22.peg.4495,fig|Bacteroides_2_2_4.peg.5298,fig|Bacteroides_3_1_23.peg.2368,fig|Bacteroides_D1.peg.4271,fig|Bacteroides_D22.peg.4684,fig|Bacteroides_D2.peg.4976,fig|Bacteroides_ovatus_3_8_47FAA.peg.4828,fig|Bacteroides_ovatus_ATCC_8483.peg.4317,fig|Bacteroides_ovatus_CL03T12C18.peg.5249,fig|Bacteroides_ovatus_SD_CC_2a.peg.4442,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2560,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4742,fig|Bacteroides_xylanisolvens_XB1A.peg.4443,fig|Bovatus_CL02T12C04.peg.5990,fig|Bovatus_NLAE-zl-C11.peg.3833,fig|Bovatus_NLAE-zl-C34.peg.3922,fig|Bovatus_NLAE-zl-H304.peg.5429,fig|Bovatus_NLAE-zl-H361.peg.4573,fig|Bovatus_NLAE-zl-H59.peg.5520,fig|Bovatus_NLAE-zl-H73.peg.5543,fig|Bxylanisolvens_CL03T12C04.peg.4454,fig|Bxylanisolvens_NLAE-zl-C182.peg.4190,fig|Bxylanisolvens_NLAE-zl-C29.peg.4254,fig|Bxylanisolvens_NLAE-zl-C339.peg.4203,fig|Bxylanisolvens_NLAE-zl-G310.peg.4360,fig|Bxylanisolvens_NLAE-zl-G421.peg.4358,fig|Bxylanisolvens_NLAE-zl-H194.peg.4121,fig|Bxylanisolvens_NLAE-zl-P352.peg.4278,fig|Bxylanisolvens_NLAE-zl-P393.peg.1196,fig|Bxylanisolvens_NLAE-zl-P727.peg.4069,fig|Bxylanisolvens_NLAE-zl-P732.peg.4344,fig|Bxylanisolvens_NLAE-zl-P736.peg.4910"	"208119-208575"	"624355-625725"
"Transcriptional regulatory protein ZraR"	"fig|Bacteroides_1_1_30.peg.5104,fig|Bacteroides_2_1_22.peg.3350,fig|Bacteroides_2_2_4.peg.3401,fig|Bacteroides_3_1_23.peg.4032,fig|Bacteroides_D1.peg.4701,fig|Bacteroides_D22.peg.4974,fig|Bacteroides_D2.peg.3594,fig|Bacteroides_ovatus_3_8_47FAA.peg.3278,fig|Bacteroides_ovatus_ATCC_8483.peg.4904,fig|Bacteroides_ovatus_CL03T12C18.peg.3516,fig|Bacteroides_ovatus_SD_CC_2a.peg.4892,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2897,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3063,fig|Bacteroides_xylanisolvens_XB1A.peg.4721,fig|Bovatus_CL02T12C04.peg.6316,fig|Bovatus_NLAE-zl-C11.peg.4160,fig|Bovatus_NLAE-zl-C34.peg.4248,fig|Bovatus_NLAE-zl-H304.peg.5537,fig|Bovatus_NLAE-zl-H361.peg.5016,fig|Bovatus_NLAE-zl-H59.peg.5855,fig|Bovatus_NLAE-zl-H73.peg.5852,fig|Bxylanisolvens_CL03T12C04.peg.2895,fig|Bxylanisolvens_NLAE-zl-C182.peg.4478,fig|Bxylanisolvens_NLAE-zl-C29.peg.4555,fig|Bxylanisolvens_NLAE-zl-C339.peg.4497,fig|Bxylanisolvens_NLAE-zl-G310.peg.4700,fig|Bxylanisolvens_NLAE-zl-G421.peg.4700,fig|Bxylanisolvens_NLAE-zl-H194.peg.4546,fig|Bxylanisolvens_NLAE-zl-P352.peg.4651,fig|Bxylanisolvens_NLAE-zl-P393.peg.4651,fig|Bxylanisolvens_NLAE-zl-P727.peg.4652,fig|Bxylanisolvens_NLAE-zl-P732.peg.4655,fig|Bxylanisolvens_NLAE-zl-P736.peg.5254"	"208576-209032"	"625726-627096"
"Sodium:neurotransmitter symporter family protein"	"fig|Bacteroides_1_1_30.peg.3144,fig|Bacteroides_2_1_22.peg.3200,fig|Bacteroides_2_2_4.peg.3260,fig|Bacteroides_3_1_23.peg.3851,fig|Bacteroides_D1.peg.4447,fig|Bacteroides_D22.peg.3050,fig|Bacteroides_D2.peg.3438,fig|Bacteroides_ovatus_3_8_47FAA.peg.3134,fig|Bacteroides_ovatus_ATCC_8483.peg.4746,fig|Bacteroides_ovatus_CL03T12C18.peg.3357,fig|Bacteroides_ovatus_SD_CC_2a.peg.4735,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4731,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2909,fig|Bacteroides_xylanisolvens_XB1A.peg.2889,fig|Bovatus_CL02T12C04.peg.3761,fig|Bovatus_NLAE-zl-C11.peg.2523,fig|Bovatus_NLAE-zl-C34.peg.2615,fig|Bovatus_NLAE-zl-H304.peg.3556,fig|Bovatus_NLAE-zl-H361.peg.3097,fig|Bovatus_NLAE-zl-H59.peg.3836,fig|Bovatus_NLAE-zl-H73.peg.3837,fig|Bxylanisolvens_CL03T12C04.peg.2750,fig|Bxylanisolvens_NLAE-zl-C182.peg.2790,fig|Bxylanisolvens_NLAE-zl-C29.peg.4449,fig|Bxylanisolvens_NLAE-zl-C339.peg.2842,fig|Bxylanisolvens_NLAE-zl-G310.peg.2822,fig|Bxylanisolvens_NLAE-zl-G421.peg.2828,fig|Bxylanisolvens_NLAE-zl-H194.peg.4441,fig|Bxylanisolvens_NLAE-zl-P352.peg.2660,fig|Bxylanisolvens_NLAE-zl-P393.peg.2899,fig|Bxylanisolvens_NLAE-zl-P727.peg.2483,fig|Bxylanisolvens_NLAE-zl-P732.peg.2754,fig|Bxylanisolvens_NLAE-zl-P736.peg.3273"	"209033-209488"	"627097-628464"
"Tryptophan synthase beta chain"	"fig|Bacteroides_1_1_30.peg.4227,fig|Bacteroides_2_1_22.peg.801,fig|Bacteroides_2_2_4.peg.4352,fig|Bacteroides_3_1_23.peg.4943,fig|Bacteroides_D1.peg.3701,fig|Bacteroides_D22.peg.3929,fig|Bacteroides_D2.peg.4386,fig|Bacteroides_ovatus_3_8_47FAA.peg.4108,fig|Bacteroides_ovatus_ATCC_8483.peg.3569,fig|Bacteroides_ovatus_CL03T12C18.peg.4511,fig|Bacteroides_ovatus_SD_CC_2a.peg.3760,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1700,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4121,fig|Bacteroides_xylanisolvens_XB1A.peg.3689,fig|Bovatus_CL02T12C04.peg.5225,fig|Bovatus_NLAE-zl-C11.peg.3328,fig|Bovatus_NLAE-zl-C34.peg.3049,fig|Bovatus_NLAE-zl-H304.peg.4526,fig|Bovatus_NLAE-zl-H361.peg.4010,fig|Bovatus_NLAE-zl-H59.peg.4914,fig|Bovatus_NLAE-zl-H73.peg.4929,fig|Bxylanisolvens_CL03T12C04.peg.3755,fig|Bxylanisolvens_NLAE-zl-C182.peg.3724,fig|Bxylanisolvens_NLAE-zl-C29.peg.3456,fig|Bxylanisolvens_NLAE-zl-C339.peg.3736,fig|Bxylanisolvens_NLAE-zl-G310.peg.3875,fig|Bxylanisolvens_NLAE-zl-G421.peg.3885,fig|Bxylanisolvens_NLAE-zl-H194.peg.3462,fig|Bxylanisolvens_NLAE-zl-P352.peg.3618,fig|Bxylanisolvens_NLAE-zl-P393.peg.3771,fig|Bxylanisolvens_NLAE-zl-P727.peg.3392,fig|Bxylanisolvens_NLAE-zl-P732.peg.3664,fig|Bxylanisolvens_NLAE-zl-P736.peg.4361"	"209489-209944"	"628465-629832"
"hypothetical protein DNA repair protein RadA homolog"	"fig|Bacteroides_1_1_30.peg.1012,fig|Bacteroides_2_1_22.peg.1403,fig|Bacteroides_2_2_4.peg.1137,fig|Bacteroides_3_1_23.peg.2563,fig|Bacteroides_D1.peg.1774,fig|Bacteroides_D22.peg.1118,fig|Bacteroides_D2.peg.797,fig|Bacteroides_ovatus_3_8_47FAA.peg.1212,fig|Bacteroides_ovatus_ATCC_8483.peg.1054,fig|Bacteroides_ovatus_CL03T12C18.peg.1241,fig|Bacteroides_ovatus_SD_CC_2a.peg.937,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2981,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.944,fig|Bacteroides_xylanisolvens_XB1A.peg.938,fig|Bovatus_CL02T12C04.peg.653,fig|Bovatus_NLAE-zl-C11.peg.771,fig|Bovatus_NLAE-zl-C34.peg.774,fig|Bovatus_NLAE-zl-H304.peg.1295,fig|Bovatus_NLAE-zl-H361.peg.1087,fig|Bovatus_NLAE-zl-H59.peg.1229,fig|Bovatus_NLAE-zl-H73.peg.1458,fig|Bxylanisolvens_CL03T12C04.peg.850,fig|Bxylanisolvens_NLAE-zl-C182.peg.924,fig|Bxylanisolvens_NLAE-zl-C29.peg.830,fig|Bxylanisolvens_NLAE-zl-C339.peg.921,fig|Bxylanisolvens_NLAE-zl-G310.peg.1088,fig|Bxylanisolvens_NLAE-zl-G421.peg.1086,fig|Bxylanisolvens_NLAE-zl-H194.peg.968,fig|Bxylanisolvens_NLAE-zl-P352.peg.880,fig|Bxylanisolvens_NLAE-zl-P393.peg.859,fig|Bxylanisolvens_NLAE-zl-P727.peg.830,fig|Bxylanisolvens_NLAE-zl-P732.peg.858,fig|Bxylanisolvens_NLAE-zl-P736.peg.898"	"209945-210405"	"629833-631215"
"Subtilisin NAT precursor"	"fig|Bacteroides_1_1_30.peg.3230,fig|Bacteroides_2_1_22.peg.3515,fig|Bacteroides_2_2_4.peg.3484,fig|Bacteroides_3_1_23.peg.4109,fig|Bacteroides_D1.peg.2311,fig|Bacteroides_D22.peg.3136,fig|Bacteroides_D2.peg.3679,fig|Bacteroides_ovatus_3_8_47FAA.peg.3365,fig|Bacteroides_ovatus_ATCC_8483.peg.2707,fig|Bacteroides_ovatus_CL03T12C18.peg.3612,fig|Bacteroides_ovatus_SD_CC_2a.peg.2829,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4763,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3116,fig|Bacteroides_xylanisolvens_XB1A.peg.2932,fig|Bovatus_CL02T12C04.peg.3954,fig|Bovatus_NLAE-zl-C11.peg.2593,fig|Bovatus_NLAE-zl-C34.peg.2684,fig|Bovatus_NLAE-zl-H304.peg.3662,fig|Bovatus_NLAE-zl-H361.peg.3185,fig|Bovatus_NLAE-zl-H59.peg.3938,fig|Bovatus_NLAE-zl-H73.peg.3949,fig|Bxylanisolvens_CL03T12C04.peg.2967,fig|Bxylanisolvens_NLAE-zl-C182.peg.2877,fig|Bxylanisolvens_NLAE-zl-C29.peg.2640,fig|Bxylanisolvens_NLAE-zl-C339.peg.2929,fig|Bxylanisolvens_NLAE-zl-G310.peg.2938,fig|Bxylanisolvens_NLAE-zl-G421.peg.2944,fig|Bxylanisolvens_NLAE-zl-H194.peg.2682,fig|Bxylanisolvens_NLAE-zl-P352.peg.2747,fig|Bxylanisolvens_NLAE-zl-P393.peg.2986,fig|Bxylanisolvens_NLAE-zl-P727.peg.2570,fig|Bxylanisolvens_NLAE-zl-P732.peg.2841,fig|Bxylanisolvens_NLAE-zl-P736.peg.3365"	"210406-210860"	"631216-632580"
"Multidrug export protein MepA"	"fig|Bacteroides_1_1_30.peg.4558,fig|Bacteroides_2_1_22.peg.4314,fig|Bacteroides_2_2_4.peg.5105,fig|Bacteroides_3_1_23.peg.2199,fig|Bacteroides_D1.peg.4090,fig|Bacteroides_D22.peg.4463,fig|Bacteroides_D2.peg.4800,fig|Bacteroides_ovatus_3_8_47FAA.peg.4641,fig|Bacteroides_ovatus_ATCC_8483.peg.4112,fig|Bacteroides_ovatus_CL03T12C18.peg.5071,fig|Bacteroides_ovatus_SD_CC_2a.peg.4252,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2370,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4555,fig|Bacteroides_xylanisolvens_XB1A.peg.4254,fig|Bovatus_CL02T12C04.peg.5802,fig|Bovatus_NLAE-zl-C11.peg.3641,fig|Bovatus_NLAE-zl-C34.peg.3730,fig|Bovatus_NLAE-zl-H304.peg.4972,fig|Bovatus_NLAE-zl-H361.peg.4413,fig|Bovatus_NLAE-zl-H59.peg.5337,fig|Bovatus_NLAE-zl-H73.peg.5360,fig|Bxylanisolvens_CL03T12C04.peg.4274,fig|Bxylanisolvens_NLAE-zl-C182.peg.4009,fig|Bxylanisolvens_NLAE-zl-C29.peg.3961,fig|Bxylanisolvens_NLAE-zl-C339.peg.4021,fig|Bxylanisolvens_NLAE-zl-G310.peg.4179,fig|Bxylanisolvens_NLAE-zl-G421.peg.4177,fig|Bxylanisolvens_NLAE-zl-H194.peg.3828,fig|Bxylanisolvens_NLAE-zl-P352.peg.4108,fig|Bxylanisolvens_NLAE-zl-P393.peg.1366,fig|Bxylanisolvens_NLAE-zl-P727.peg.3900,fig|Bxylanisolvens_NLAE-zl-P732.peg.4174,fig|Bxylanisolvens_NLAE-zl-P736.peg.4715"	"210861-211314"	"632581-633942"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.3261,fig|Bacteroides_2_1_22.peg.3545,fig|Bacteroides_2_2_4.peg.3521,fig|Bacteroides_3_1_23.peg.4139,fig|Bacteroides_D1.peg.2281,fig|Bacteroides_D22.peg.3166,fig|Bacteroides_D2.peg.3716,fig|Bacteroides_ovatus_3_8_47FAA.peg.3394,fig|Bacteroides_ovatus_ATCC_8483.peg.2745,fig|Bacteroides_ovatus_CL03T12C18.peg.3649,fig|Bacteroides_ovatus_SD_CC_2a.peg.2860,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4793,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3146,fig|Bacteroides_xylanisolvens_XB1A.peg.2970,fig|Bovatus_CL02T12C04.peg.3993,fig|Bovatus_NLAE-zl-C11.peg.2622,fig|Bovatus_NLAE-zl-C34.peg.2713,fig|Bovatus_NLAE-zl-H304.peg.3693,fig|Bovatus_NLAE-zl-H361.peg.3215,fig|Bovatus_NLAE-zl-H59.peg.3975,fig|Bovatus_NLAE-zl-H73.peg.3986,fig|Bxylanisolvens_CL03T12C04.peg.2996,fig|Bxylanisolvens_NLAE-zl-C182.peg.2907,fig|Bxylanisolvens_NLAE-zl-C29.peg.2669,fig|Bxylanisolvens_NLAE-zl-C339.peg.2959,fig|Bxylanisolvens_NLAE-zl-G310.peg.2968,fig|Bxylanisolvens_NLAE-zl-G421.peg.2974,fig|Bxylanisolvens_NLAE-zl-H194.peg.2712,fig|Bxylanisolvens_NLAE-zl-P352.peg.2777,fig|Bxylanisolvens_NLAE-zl-P393.peg.3016,fig|Bxylanisolvens_NLAE-zl-P727.peg.2600,fig|Bxylanisolvens_NLAE-zl-P732.peg.2871,fig|Bxylanisolvens_NLAE-zl-P736.peg.3397"	"211315-211766"	"633943-635298"
"Multidrug resistance protein NorM"	"fig|Bacteroides_1_1_30.peg.5107,fig|Bacteroides_2_1_22.peg.3353,fig|Bacteroides_2_2_4.peg.3404,fig|Bacteroides_3_1_23.peg.4035,fig|Bacteroides_D1.peg.4704,fig|Bacteroides_D22.peg.4977,fig|Bacteroides_D2.peg.3597,fig|Bacteroides_ovatus_3_8_47FAA.peg.3281,fig|Bacteroides_ovatus_ATCC_8483.peg.4907,fig|Bacteroides_ovatus_CL03T12C18.peg.3519,fig|Bacteroides_ovatus_SD_CC_2a.peg.4895,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2900,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3066,fig|Bacteroides_xylanisolvens_XB1A.peg.4724,fig|Bovatus_CL02T12C04.peg.6319,fig|Bovatus_NLAE-zl-C11.peg.4163,fig|Bovatus_NLAE-zl-C34.peg.4251,fig|Bovatus_NLAE-zl-H304.peg.5540,fig|Bovatus_NLAE-zl-H361.peg.5019,fig|Bovatus_NLAE-zl-H59.peg.5858,fig|Bovatus_NLAE-zl-H73.peg.5855,fig|Bxylanisolvens_CL03T12C04.peg.2898,fig|Bxylanisolvens_NLAE-zl-C182.peg.4481,fig|Bxylanisolvens_NLAE-zl-C29.peg.4558,fig|Bxylanisolvens_NLAE-zl-C339.peg.4500,fig|Bxylanisolvens_NLAE-zl-G310.peg.4703,fig|Bxylanisolvens_NLAE-zl-G421.peg.4703,fig|Bxylanisolvens_NLAE-zl-H194.peg.4549,fig|Bxylanisolvens_NLAE-zl-P352.peg.4654,fig|Bxylanisolvens_NLAE-zl-P393.peg.4654,fig|Bxylanisolvens_NLAE-zl-P727.peg.4655,fig|Bxylanisolvens_NLAE-zl-P732.peg.4658,fig|Bxylanisolvens_NLAE-zl-P736.peg.5257"	"211767-212218"	"635299-636654"
"Putative zinc metalloprotease"	"fig|Bacteroides_1_1_30.peg.1482,fig|Bacteroides_2_1_22.peg.1846,fig|Bacteroides_2_2_4.peg.1731,fig|Bacteroides_3_1_23.peg.2947,fig|Bacteroides_D1.peg.760,fig|Bacteroides_D22.peg.1555,fig|Bacteroides_D2.peg.1221,fig|Bacteroides_ovatus_3_8_47FAA.peg.1601,fig|Bacteroides_ovatus_ATCC_8483.peg.1490,fig|Bacteroides_ovatus_CL03T12C18.peg.1778,fig|Bacteroides_ovatus_SD_CC_2a.peg.1327,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3436,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1325,fig|Bacteroides_xylanisolvens_XB1A.peg.1292,fig|Bovatus_CL02T12C04.peg.1212,fig|Bovatus_NLAE-zl-C11.peg.1127,fig|Bovatus_NLAE-zl-C34.peg.1140,fig|Bovatus_NLAE-zl-H304.peg.1854,fig|Bovatus_NLAE-zl-H361.peg.1583,fig|Bovatus_NLAE-zl-H59.peg.1650,fig|Bovatus_NLAE-zl-H73.peg.1879,fig|Bxylanisolvens_CL03T12C04.peg.1365,fig|Bxylanisolvens_NLAE-zl-C182.peg.1324,fig|Bxylanisolvens_NLAE-zl-C29.peg.1241,fig|Bxylanisolvens_NLAE-zl-C339.peg.1322,fig|Bxylanisolvens_NLAE-zl-G310.peg.1555,fig|Bxylanisolvens_NLAE-zl-G421.peg.1551,fig|Bxylanisolvens_NLAE-zl-H194.peg.1393,fig|Bxylanisolvens_NLAE-zl-P352.peg.1253,fig|Bxylanisolvens_NLAE-zl-P393.peg.1438,fig|Bxylanisolvens_NLAE-zl-P727.peg.993,fig|Bxylanisolvens_NLAE-zl-P732.peg.1296,fig|Bxylanisolvens_NLAE-zl-P736.peg.1485"	"212219-212669"	"636655-638007"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.2765,fig|Bacteroides_2_1_22.peg.2804,fig|Bacteroides_2_2_4.peg.2816,fig|Bacteroides_3_1_23.peg.850,fig|Bacteroides_D1.peg.2588,fig|Bacteroides_D22.peg.2663,fig|Bacteroides_D2.peg.3010,fig|Bacteroides_ovatus_3_8_47FAA.peg.2760,fig|Bacteroides_ovatus_ATCC_8483.peg.2316,fig|Bacteroides_ovatus_CL03T12C18.peg.2958,fig|Bacteroides_ovatus_SD_CC_2a.peg.2439,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4326,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2452,fig|Bacteroides_xylanisolvens_XB1A.peg.2467,fig|Bovatus_CL02T12C04.peg.3237,fig|Bovatus_NLAE-zl-C11.peg.2146,fig|Bovatus_NLAE-zl-C34.peg.2232,fig|Bovatus_NLAE-zl-H304.peg.3108,fig|Bovatus_NLAE-zl-H361.peg.2664,fig|Bovatus_NLAE-zl-H59.peg.3427,fig|Bovatus_NLAE-zl-H73.peg.3424,fig|Bxylanisolvens_CL03T12C04.peg.2343,fig|Bxylanisolvens_NLAE-zl-C182.peg.2426,fig|Bxylanisolvens_NLAE-zl-C29.peg.2283,fig|Bxylanisolvens_NLAE-zl-C339.peg.2438,fig|Bxylanisolvens_NLAE-zl-G310.peg.2478,fig|Bxylanisolvens_NLAE-zl-G421.peg.2484,fig|Bxylanisolvens_NLAE-zl-H194.peg.2313,fig|Bxylanisolvens_NLAE-zl-P352.peg.2289,fig|Bxylanisolvens_NLAE-zl-P393.peg.2526,fig|Bxylanisolvens_NLAE-zl-P727.peg.2113,fig|Bxylanisolvens_NLAE-zl-P732.peg.2384,fig|Bxylanisolvens_NLAE-zl-P736.peg.2884"	"212670-213120"	"638008-639360"
"Trigger factor"	"fig|Bacteroides_1_1_30.peg.3182,fig|Bacteroides_2_1_22.peg.3444,fig|Bacteroides_2_2_4.peg.3436,fig|Bacteroides_3_1_23.peg.4063,fig|Bacteroides_D1.peg.3986,fig|Bacteroides_D22.peg.3091,fig|Bacteroides_D2.peg.3633,fig|Bacteroides_ovatus_3_8_47FAA.peg.3320,fig|Bacteroides_ovatus_ATCC_8483.peg.2669,fig|Bacteroides_ovatus_CL03T12C18.peg.3555,fig|Bacteroides_ovatus_SD_CC_2a.peg.4605,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2741,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4905,fig|Bacteroides_xylanisolvens_XB1A.peg.4604,fig|Bovatus_CL02T12C04.peg.3915,fig|Bovatus_NLAE-zl-C11.peg.4033,fig|Bovatus_NLAE-zl-C34.peg.4122,fig|Bovatus_NLAE-zl-H304.peg.3604,fig|Bovatus_NLAE-zl-H361.peg.3139,fig|Bovatus_NLAE-zl-H59.peg.5729,fig|Bovatus_NLAE-zl-H73.peg.5752,fig|Bxylanisolvens_CL03T12C04.peg.2912,fig|Bxylanisolvens_NLAE-zl-C182.peg.4351,fig|Bxylanisolvens_NLAE-zl-C29.peg.4397,fig|Bxylanisolvens_NLAE-zl-C339.peg.4364,fig|Bxylanisolvens_NLAE-zl-G310.peg.4617,fig|Bxylanisolvens_NLAE-zl-G421.peg.4616,fig|Bxylanisolvens_NLAE-zl-H194.peg.4389,fig|Bxylanisolvens_NLAE-zl-P352.peg.4565,fig|Bxylanisolvens_NLAE-zl-P393.peg.4564,fig|Bxylanisolvens_NLAE-zl-P727.peg.4564,fig|Bxylanisolvens_NLAE-zl-P732.peg.4568,fig|Bxylanisolvens_NLAE-zl-P736.peg.5156"	"213121-213582"	"639361-640746"
